Unnamed: 0,Name,Opening,Closing,Volume,Date,Opening_Price,Closing_Price,Volume_Traded
,43.0,,,,11-14-2022,41.1794,41.1794,0.0
,44.0,,,,11-14-2022,3.91,3.91,0.0
,45.0,,,,11-14-2022,52.9692,52.9692,0.0
,46.0,,,,11-14-2022,2.845,2.8475,500.0
,47.0,,,,11-14-2022,114.5,114.5,0.0
,48.0,,,,11-14-2022,0.0331,0.0331,0.0
,49.0,,,,11-14-2022,2.6,2.6,0.0
,50.0,,,,11-14-2022,18.4,18.4,200.0
,51.0,,,,11-14-2022,5.1,5.1,0.0
,,,,,11-16-2022,EQUITIES,,
,1.0,,,,11-16-2022,296,296.0,0.0
,2.0,,,,11-16-2022,24.7604,24.475,800.0
,3.0,,,,11-16-2022,15.0636,15.05,3800.0
,4.0,,,,11-16-2022,3.95,3.9501,3200.0
,5.0,,,,11-16-2022,66.4444,64.9979,31300.0
,6.0,,,,11-16-2022,8,8.0,0.0
,7.0,,,,11-16-2022,26,26.0,0.0
,8.0,,,,11-16-2022,2950,2950.0,0.0
,9.0,,,,11-16-2022,200.05,200.05,0.0
,10.0,,,,11-16-2022,130,130.0,0.0
,11.0,,,,11-16-2022,357.6468,357.6468,0.0
,12.0,,,,11-16-2022,49.75,49.75,0.0
,13.0,,,,11-16-2022,200,200.3896,119000.0
,14.0,,,,11-16-2022,37.2045,37.875,61400.0
,15.0,,,,11-16-2022,75.0008,69.9858,540100.0
,16.0,,,,11-16-2022,7.5185,7.5185,0.0
,17.0,,,,11-16-2022,62.5,62.5,86500.0
,18.0,,,,11-16-2022,24,24.0,0.0
,19.0,,,,11-16-2022,10.4,9.1846,3900.0
,20.0,,,,11-16-2022,23,24.85,26000.0
,21.0,,,,11-16-2022,10.14,10.14,0.0
,22.0,,,,11-16-2022,2,2.0,0.0
,23.0,,,,11-16-2022,18.95,18.95,0.0
,24.0,,,,11-16-2022,195,199.0,100.0
,25.0,,,,11-16-2022,321.6265,320.1596,118500.0
,26.0,,,,11-16-2022,124.7419,124.7419,0.0
,27.0,,,,11-16-2022,7.8,7.9995,3296100.0
,28.0,,,,11-16-2022,75,75.0,0.0
,29.0,,,,11-16-2022,100,100.0,10400.0
,30.0,,,,11-16-2022,10,8.5,300.0
,31.0,,,,11-16-2022,1103,1103.0,0.0
,32.0,,,,11-16-2022,12,12.0,0.0
,33.0,,,,11-16-2022,24,24.0,0.0
,34.0,,,,11-16-2022,28.6604,29.0992,25700.0
,35.0,,,,11-16-2022,27.6498,27.6251,404000.0
,36.0,,,,11-16-2022,7.9052,7.9233,1800.0
,37.0,,,,11-16-2022,140,140.0,0.0
,38.0,,,,11-16-2022,90,84.3571,253400.0
,39.0,,,,11-16-2022,216.2421,216.3087,198700.0
,40.0,,,,11-16-2022,1.8645,1.89,6100.0
,41.0,,,,11-16-2022,85,85.0,100.0
,42.0,,,,11-16-2022,2.2025,2.2025,0.0
,43.0,,,,11-16-2022,41.1794,41.05,25000.0
,44.0,,,,11-16-2022,3.91,3.91,0.0
,45.0,,,,11-16-2022,52.9692,52.0,100.0
,46.0,,,,11-16-2022,2.8,2.8008,26600.0
,47.0,,,,11-16-2022,114.5,114.5,0.0
,48.0,,,,11-16-2022,0.0331,0.0331,0.0
,49.0,,,,11-16-2022,2.6,2.6,0.0
,50.0,,,,11-16-2022,18.9,18.75,200.0
,51.0,,,,11-16-2022,5.1,5.1,34500.0
,1.0,,,,10-28-2023,1739.35,1739.35,0.0
,2.0,,,,10-28-2023,48.0,48.0,0.0
,3.0,,,,10-28-2023,30.3615,30.4,19800.0
,4.0,,,,10-28-2023,16.5909,16.5909,0.0
,5.0,,,,10-28-2023,33.65,33.65,0.0
,6.0,,,,10-28-2023,13995.59,13995.59,0.0
,7.0,,,,10-28-2023,2350.0,2350.0,0.0
,8.0,,,,10-28-2023,1804.167,1805.439,15400.0
,9.0,,,,10-28-2023,2200.1,2200.1,100.0
,10.0,,,,10-28-2023,475.9502,475.9502,0.0
,11.0,,,,10-28-2023,2602.592,2606.54,194800.0
,12.0,,,,10-28-2023,138.5127,137.9942,20600.0
,13.0,,,,10-28-2023,501.5302,498.8537,2659100.0
,14.0,,,,10-28-2023,95.8083,95.3568,6600.0
,15.0,,,,10-28-2023,750.0466,756.75,800.0
,16.0,,,,10-28-2023,150.0,150.0,0.0
,17.0,,,,10-28-2023,585.0,585.0,800.0
,18.0,,,,10-28-2023,137.1,137.1,0.0
,19.0,,,,10-28-2023,11.353,11.353,0.0
,20.0,,,,10-28-2023,1892.53,1892.53,0.0
,21.0,,,,10-28-2023,125.0477,125.4167,600.0
,22.0,,,,10-28-2023,800.0,800.0,0.0
,23.0,,,,10-28-2023,966.1901,999.7854,17100.0
,24.0,,,,10-28-2023,345.6667,336.5714,700.0
,25.0,,,,10-28-2023,24.7,24.7,0.0
,26.0,,,,10-28-2023,300.05,300.05,0.0
,27.0,,,,10-28-2023,150.168,145.9316,1914700.0
,28.0,,,,10-28-2023,611.5,611.5,0.0
,29.0,,,,10-28-2023,133.3585,135.0,1000.0
,30.0,,,,10-28-2023,690.0,690.0,0.0
,31.0,,,,10-28-2023,740.0,841.0,6300.0
,32.0,,,,10-28-2023,4.9817,4.9758,44300.0
,33.0,,,,10-28-2023,950.0101,950.0101,0.0
,34.0,,,,10-28-2023,35.0,35.0,15500.0
,35.0,,,,10-28-2023,517.9,517.9,0.0
,36.0,,,,10-28-2023,25.5,25.5,4100.0
,37.0,,,,10-28-2023,258.0,258.0,0.0
,38.0,,,,10-28-2023,18.0,20.7,3000.0
,39.0,,,,10-28-2023,790.0,850.0,300.0
,40.0,,,,10-28-2023,0.0331,0.0331,0.0
,41.0,,,,10-28-2023,16.65,16.65,0.0
,42.0,,,,10-28-2023,106.6667,100.0,11400.0
,1.0,,,,10-29-2023,1739.35,1739.35,0.0
,2.0,,,,10-29-2023,48.0,48.0,0.0
,3.0,,,,10-29-2023,30.3615,30.4,19800.0
,4.0,,,,10-29-2023,16.5909,16.5909,0.0
,5.0,,,,10-29-2023,33.65,33.65,0.0
,6.0,,,,10-29-2023,13995.59,13995.59,0.0
,7.0,,,,10-29-2023,2350.0,2350.0,0.0
,8.0,,,,10-29-2023,1804.167,1805.439,15400.0
,9.0,,,,10-29-2023,2200.1,2200.1,100.0
,10.0,,,,10-29-2023,475.9502,475.9502,0.0
,11.0,,,,10-29-2023,2602.592,2606.54,194800.0
,12.0,,,,10-29-2023,138.5127,137.9942,20600.0
,13.0,,,,10-29-2023,501.5302,498.8537,2659100.0
,14.0,,,,10-29-2023,95.8083,95.3568,6600.0
,15.0,,,,10-29-2023,750.0466,756.75,800.0
,16.0,,,,10-29-2023,150.0,150.0,0.0
,17.0,,,,10-29-2023,585.0,585.0,800.0
,18.0,,,,10-29-2023,137.1,137.1,0.0
,19.0,,,,10-29-2023,11.353,11.353,0.0
,20.0,,,,10-29-2023,1892.53,1892.53,0.0
,21.0,,,,10-29-2023,125.0477,125.4167,600.0
,22.0,,,,10-29-2023,800.0,800.0,0.0
,23.0,,,,10-29-2023,966.1901,999.7854,17100.0
,24.0,,,,10-29-2023,345.6667,336.5714,700.0
